student_id,full_name,birth_date,school_number,average_grade,city,district
0jT8nY,Волков Мария Михайловна,2008-02-07,90,3.58,Санкт-Петербург,ВАО
Eu8hYi,Васильев Александр Ивановна,2008-05-03,93,3.55,Новосибирск,ЮЗАО
dBYKAj,Попов Сергей Сергеевна,2008-10-23,52,3.81,Новосибирск,ЮЗАО
MbXBkY,Иванов Екатерина Александровна,2007-08-10,81,4.62,Санкт-Петербург,САО
FzT380,Кузнецов Наталья Алексеевич,2008-01-22,45,4.41,Санкт-Петербург,ВАО
92OnDX,Соловьёв Анна Александровна,2007-09-12,77,4.14,Санкт-Петербург,ЦАО
5Zlevf,Зайцев Алексей Николаевич,2008-04-13,62,4.61,Санкт-Петербург,САО
P3652K,Соколов Мария Алексеевич,2007-09-24,39,4.06,Казань,ЦАО
ShkirQ,Смирнов Екатерина Михайлович,2007-03-01,40,4.0,Москва,ЮЗАО
NvJ7Ci,Попов Михаил Александровна,2007-08-13,58,4.73,Екатеринбург,ЦАО
5dDOFa,Соколов Андрей Николаевич,2008-08-09,54,4.18,Москва,ЦАО
Jjz6Oz,Морозов Николай Алексеевна,2008-09-05,28,3.33,Новосибирск,САО
XvRH8Y,Попов Николай Андреевич,2008-02-21,66,4.6,Новосибирск,ВАО
YJ3cwl,Павлов Анна Сергеевна,2008-07-08,75,4.93,Екатеринбург,ЦАО
ZYddrL,Зайцев Сергей Дмитриевна,2007-12-14,51,3.45,Екатеринбург,ВАО
4pvpQD,Лебедев Елена Дмитриевич,2007-08-26,91,4.27,Москва,ВАО
jyVUyb,Волков Иван Иванович,2007-01-27,89,4.87,Екатеринбург,ВАО
ek9uC5,Кузнецов Ольга Дмитриевна,2007-10-27,7,4.83,Казань,ЮЗАО
TAwMxs,Попов Иван Иванович,2008-12-15,4,4.52,Екатеринбург,ЮЗАО
quYhbr,Зайцев Татьяна Дмитриевич,2008-04-02,35,3.11,Москва,ЦАО
g2WbcX,Соколов Екатерина Иванович,2008-10-01,63,3.51,Екатеринбург,ЗАО
SetLT8,Новиков Андрей Андреевна,2007-04-02,33,4.67,Санкт-Петербург,ЗАО
4Fkrhs,Иванов Ольга Алексеевич,2007-02-23,56,3.53,Новосибирск,ЮЗАО
glloIb,Иванов Наталья Ивановна,2008-04-20,85,4.17,Новосибирск,ЦАО
Ij7kMA,Петров Елена Ивановна,2008-06-07,10,3.02,Новосибирск,ЦАО
Tln4oD,Морозов Николай Александровна,2008-08-10,67,4.23,Екатеринбург,ЮЗАО
PyRsjB,Морозов Александр Алексеевич,2008-05-04,77,3.97,Новосибирск,САО
KvzkN3,Зайцев Сергей Алексеевич,2008-02-13,81,3.71,Москва,ЮЗАО
C6hwrz,Смирнов Иван Александровна,2007-05-07,59,4.45,Москва,ЮЗАО
kefHW2,Зайцев Наталья Алексеевна,2008-02-06,3,4.09,Москва,ЦАО
eBQTVB,Волков Михаил Александровна,2008-11-06,80,4.53,Санкт-Петербург,ЦАО
z6aa3G,Соколов Николай Иванович,2007-07-22,73,3.95,Казань,ЦАО
ge5Lu2,Зайцев Михаил Михайлович,2008-04-25,31,4.5,Новосибирск,ВАО
q0KLDS,Лебедев Елена Александрович,2007-10-24,54,3.95,Москва,ВАО
UEGsqi,Лебедев Наталья Алексеевич,2008-12-14,50,3.2,Санкт-Петербург,ЮЗАО
FvAI6u,Лебедев Екатерина Сергеевна,2007-08-27,80,4.86,Казань,ВАО
lC0Z7O,Соколов Иван Александровна,2007-05-01,91,4.09,Екатеринбург,ВАО
5vqVCG,Новиков Николай Николаевич,2007-02-14,52,4.6,Екатеринбург,ЗАО
zk5BZq,Кузнецов Иван Алексеевна,2007-05-19,86,3.56,Казань,ЦАО
xeU1OI,Новиков Алексей Дмитриевна,2008-10-09,94,4.25,Казань,САО
ESW4y9,Зайцев Анна Сергеевна,2007-03-11,50,4.73,Екатеринбург,ЮЗАО
HyIXdQ,Зайцев Наталья Александрович,2008-12-22,44,3.77,Москва,ЦАО
